param, domainPortion, domainCarry, modulePortion, moduleCarry;
5, 1691, 689, 1983, 824;
10, 1356, 669, 1590, 800;
15, 1165, 646, 1370, 782;
20, 1011, 628, 1201, 760;
25, 886, 615, 1073, 743;
30, 802, 591, 965, 718;
35, 731, 572, 889, 696;
40, 672, 555, 808, 672;
45, 604, 533, 733, 642;
50, 559, 513, 671, 621;
55, 516, 483, 616, 589;
60, 476, 462, 572, 555;
65, 432, 438, 516, 529;
70, 386, 413, 470, 499;
75, 359, 388, 430, 462;
80, 319, 350, 393, 428;
85, 283, 312, 349, 386;
90, 251, 279, 307, 346;
95, 215, 225, 258, 281;
100, 166, 166, 198, 198;
